ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
C26,Industrial building,"Buildings designed for industrial activities such as manufacturing, storage, and production",XE7T4,Industrial or construction area,industrial or construction area,,,1,0.7007210850715637,ERC-Narrower
C261,Industrial building,Buildings where goods are manufactured or assembled,XE7T4,Industrial or construction area,industrial or construction area,,,1,0.7220582365989685,Equivalent
C262,Industrial building,Buildings for specialized manual work,XE7T4,Industrial or construction area,industrial or construction area,,,1,0.61387699842453,ERC-Narrower
C263,Industrial building,"Buildings used for the storage of raw materials, goods, or finished products.",XE7T4,Industrial or construction area,industrial or construction area,,,1,0.5851768851280212,ERC-Broader
C264,Industrial building,"Facility in which one form of energy is converted into another, usually electricity",XE7T4,Industrial or construction area,industrial or construction area,,,1,0.49675190448760986,Related to
C265,Industrial building,"A building that is in the process of construction, reconstruction, or demolition and thus differs significantly from the planned building",XE0Z7,Demolition site,demolition site,,,1,0.6582084894180298,ERC-Narrower
C27,Agricultural building,Building for agricultural purposes,XE4XM,"Part of building or grounds, kitchen","part of building or grounds, kitchen",,,1,0.5367860198020935,ERC-Broader
C271,Agricultural building,"Buildings used for storing livestock, feed, equipment, and sometimes crops",XE2Q4,"Part of building or grounds, garage","part of building or grounds, garage",,,1,0.5918192267417908,ERC-Broader
C272,Agricultural building,"A building used for storing bulk materials, typically grains, silage, or fodder",XE4XM,"Part of building or grounds, kitchen","part of building or grounds, kitchen",,,1,0.53687584400177,ERC-Broader
C273,Agricultural building,"Building designed to grow plants, especially in controlled environments to protect from adverse weather conditions",XE4XM,"Part of building or grounds, kitchen","part of building or grounds, kitchen",,,1,0.5431821942329407,ERC-Broader
C28,Cultural building,"Buildings designed for public entertainment, artistic, and cultural activities",XE774,Non-cultural public building,non-cultural public building,,,1,0.7875114679336548,Equivalent
C281,Cultural building,"Buildings used for live performances, plays, movies",XE774,Non-cultural public building,non-cultural public building,,,1,0.6659203171730042,ERC-Narrower
C282,Cultural building,Buildings for displaying visual art,XE774,Non-cultural public building,non-cultural public building,,,1,0.6624017953872681,ERC-Narrower
C283,Cultural building,"Buildings that preserve and exhibit historical, cultural, or scientific objects",XE774,Non-cultural public building,non-cultural public building,,,1,0.6464200615882874,ERC-Narrower
C284,Cultural building,Buildings used for socialisation purposes,XE774,Non-cultural public building,non-cultural public building,,,1,0.7488108277320862,Equivalent
C29,Sport building,Facility that is used for sports,XE9DN,"Part of building or grounds, other specified sporting facility","part of building or grounds, other specified sporting facility",,,1,0.8154082894325256,Equivalent
C291,Sport building,Facility where sports activities are practiced,XE9DN,"Part of building or grounds, other specified sporting facility","part of building or grounds, other specified sporting facility",,,1,0.7813144326210022,Equivalent
