ERC_ID,ERC_Title,ERC_Definition,ICD_MMS_Code,ICD_MMS_Title,ICD_Search_Title,ICD_Search_Definition,Search_Synonyms,Rank,Similarity_Score,Relationship
B191,Cableway,Cableway that rolls on metal rails and is pulled by cables.,XE8KJ,"Cable car, ski chair lift, ski lift with gondola","cable car, ski chair lift, ski lift with gondola",,,1,0.5784973502159119,ERC-Broader
B192,Cableway,Cableway with cabines that hang on cables.,XE8KJ,"Cable car, ski chair lift, ski lift with gondola","cable car, ski chair lift, ski lift with gondola",,,1,0.635067880153656,ERC-Narrower
B193,Cableway,"Cableway without cabins that hangs on cables, containing seats.",XE8KJ,"Cable car, ski chair lift, ski lift with gondola","cable car, ski chair lift, ski lift with gondola",,,1,0.6661078333854675,ERC-Narrower
B21,Underground passenger vehicle,underground rail-based vehicles used for passenger transportation,XE6DQ,Railway vehicle as counterpart in land transport crash,railway vehicle as counterpart in land transport crash,"a vehicle, or a coupled set of vehicles (a train), designed for traffic on a railway.",,1,0.6179792284965515,ERC-Narrower
B211,Underground passenger vehicle,Underground light rail vehicle used for transportation,XE40X,"Streetcar, tram, electric car, car trolley","streetcar, tram, electric car, car trolley",,,1,0.6096406579017639,ERC-Narrower
B212,Underground passenger vehicle,Underground railway system used to transport large numbers of passengers within urban and suburban areas,XE40X,"Streetcar, tram, electric car, car trolley","streetcar, tram, electric car, car trolley",,,1,0.5809003114700317,ERC-Broader
B22,Underground mining vehicle,Specialized vehicles used in underground mining operations,XE1GE,Mobile machinery or special purpose vehicle mainly used in construction,mobile machinery or special purpose vehicle mainly used in construction,,,1,0.6770927906036377,ERC-Narrower
B221,Underground mining vehicle,"Underground rail truck specifically designed for transporting ore, materials, and equipment",XE1BG,"Tram, truck, or tub in mine or quarry","tram, truck, or tub in mine or quarry",,,1,0.7050033807754517,ERC-Narrower
B222,Underground mining vehicle,"Large, rugged trucks designed to transport ore and other materials within underground mines",XE1BG,"Tram, truck, or tub in mine or quarry","tram, truck, or tub in mine or quarry",,,1,0.6406376957893372,ERC-Narrower
B31,Gliding air transport,Motorless aircraft which passively generates lift through air currents in order to counteract the vertical fall.,XE6FD,Military fixed-wing powered aircraft,military fixed-wing powered aircraft,,,1,0.515845537185669,ERC-Broader
B311,Gliding air transport,Gliding device used to reduce the fall speed of the attached person. Takeoff usually occurs from another aircraft.,XE33H,Glider as mode of transport of person injured in transport related event,glider as mode of transport of person injured in transport related event,,,1,0.596457302570343,ERC-Broader
B312,Gliding air transport,Gliding device to which people are attached to. Takeoff is usually by human power from an elevated level.,XE3VU,Hang-glider,hang-glider,,,1,0.6472916603088379,ERC-Narrower
B313,Gliding air transport,Gliding device that climbs with the help of air currents. Takeoff is done by other technical devices that accelerate it.,XE2KU,Glider,glider,,,1,0.6053383350372314,ERC-Narrower
B32,Floating air transport,Aircraft using gas with lower density than the atmospheric air to generate static lift. The lifting gas is enclosed by an envelope which is connected to the payload.,XE0VS,Spacecraft as mode of transport of person injured in transport related event,spacecraft as mode of transport of person injured in transport related event,"device designed for transporting passengers or goods to, from and in places with very low atmospheric pressure.",,1,0.4367000162601471,Related to
B321,Floating air transport,Lifting gas is atmospheric hot air or steam,ICD-11 block title,"Gas, fumes or vapour","gas, fumes or vapour",,gas; fumes; vapour; vapor; air contaminant; lung irritant gas; industrial fumes,1,0.4994935691356659,Related to
B322,Floating air transport,Lifting gas is hydrogen,XE0RV,Gas leak,gas leak,problem associated with the unintended escape of a gas from the container in which it is housed.,,1,0.4373760223388672,Related to
