Query,URI,Title,Definition,Synonyms,Parent_URI,Children
Roof,http://id.who.int/icd/entity/1846018499,Superior wall of nasopharynx,,Roof of nasopharynx,,[]
Roof,http://id.who.int/icd/entity/546326103,Unintentional fall from roof,,,,[]
Roof,http://id.who.int/icd/entity/847229948,Fall from or through roof,,,,[]
Roof,http://id.who.int/icd/entity/1202188564,Carcinoma in situ of roof of mouth,,,,[]
Roof,http://id.who.int/icd/entity/1849238165,Benign tumour of roof of mouth,,,,[]
Roof,http://id.who.int/icd/entity/566120423,Unintentional fall through roof,,,,[]
Roof,http://id.who.int/icd/entity/547578362,Malignant neoplasms of nasopharynx,"A wide variety of tumours can arise in the nasopharynx, but it is nasopharyngeal carcinoma that has fascinated generations of oncologists, pathologists, scientists and epidemiologists. It shows marked geographic differences, with highest incidence rates in Southern China. In some endemic areas, the incidence has declined by about 30% over the years 2000-2020, suggesting that environmental or lifestyle factors may play a major role and that the disease is, to some extent, preventable. 
Nasopharyngeal carcinoma shows a very strong association with Epstein-Barr virus (EBV) infection, irrespective of the ethnic origin of the patients. This association has pioneered a new paradigm of utilizing viral serological tests for the diagnosis of cancer and for screening in high-risk populations. Nasopharyngeal carcinoma is generally responsive to radiation therapy, and the clinical outcome has greatly improved over the years, due to refinements in staging and to improved therapy protocols. The unusual and often deceptive histological features of nasopharyngeal carcinoma have generated controversies over the nature of the tumour and still pose a challenge to surgical pathologists. There have possibly been more names invented for the various histological subtypes of nasopharyngeal carcinoma than any other tumour type.",nasopharyngeal cancer; primary malignant neoplasm of superior wall of nasopharynx; malignant neoplasm of roof of nasopharynx; primary malignant neoplasm of posterior wall of nasopharynx; primary malignant neoplasm of lateral wall of nasopharynx; malignant neoplasm of fossa of Rosenmüller; malignant neoplasm of pharyngeal recess; malignant neoplasm of opening of auditory tube; malignant neoplasm of anterior wall of nasopharynx; malignant neoplasm of floor of nasopharynx; malignant tumour of anterior wall of nasopharynx; malignant neoplasm of anterior or posterior surface of nasopharyngeal soft palate; malignant neoplasm of posterior margin of nasal choana; malignant neoplasm of posterior margin of nasal septum; malignant neoplasm of nasopharyngeal wall NOS; malignant tumour of epipharynx; malignant tumour of postnasal space,,[]
Roof,http://id.who.int/icd/entity/1176143217,Benign neoplasm of nasopharyngeal roof,,benign tumour of roof of nasopharynx,,[]
Roof,http://id.who.int/icd/entity/213240825,Person being transported by a vehicle and occupying space on the roof injured in transport related event,,,,[]
Driveway,http://id.who.int/icd/entity/362702124,"Part of building or grounds, driveway",,"Part of building or grounds, laneway",,[]
